UX,UY,UZ,UVX,UVY,UVZ,PX,PY,PZ,PVX,PVY,PVZ
141941888.5,-491393005.7,-17798470.09,35.10842457,-15.15097436,-2.48707027,264281336.7,-153519067.4,-14728939.18,25.98386422,-1.618818529,-1.249702785
144950553.2,-492668458,-18011466.38,34.53303423,-14.37604089,-2.44323062,266521790.4,-153656295.4,-14836659.88,25.87868652,-1.557944692,-1.243844038
147908588.5,-493877653,-18220631.65,33.93652224,-13.61733584,-2.398394962,268753207.4,-153788312.7,-14943877.49,25.77467629,-1.498197104,-1.238056945
150814188.8,-495022017.4,-18425881.31,33.31933769,-12.87542782,-2.352597015,270975687.5,-153915215.4,-15050598.14,25.67181105,-1.439545476,-1.232339998
153665588,-496103026.7,-18627133.69,32.68194449,-12.15087331,-2.305871189,273189328.7,-154037096.9,-15156827.82,25.57006893,-1.381960591,-1.226691735
156461060.6,-497122203.8,-18824310.14,32.0248211,-11.44421625,-2.258252559,275394227.1,-154154048.1,-15262572.41,25.46942859,-1.325414263,-1.221110736
159198923.1,-498081118,-19017335.05,31.3484602,-10.75598776,-2.209776846,277590477.1,-154266157.6,-15367837.66,25.36986929,-1.269879285,-1.21559562
161877535.1,-498981384.1,-19206135.94,30.65336834,-10.08670572,-2.160480389,279778171.1,-154373511.6,-15472629.19,25.27137079,-1.215329395,-1.210145047
164495300.6,-499824661,-19390643.49,29.94006567,-9.436874485,-2.110400125,281957399.9,-154476194.1,-15576952.54,25.17391339,-1.161739228,-1.204757715
167050669.3,-500612650.4,-19570791.59,29.20908555,-8.806984484,-2.059573564,284128252.7,-154574287.1,-15680813.11,25.07747788,-1.109084285,-1.199432356
169542137.2,-501347095.9,-19746517.4,28.46097422,-8.197511942,-2.008038764,286290817,-154667870.2,-15784216.2,24.98204554,-1.057340888,-1.19416774
171968248.3,-502029781.8,-19917761.4,27.69629047,-7.608918533,-1.955834306,288445178.6,-154757021.2,-15887167.01,24.88759812,-1.006486155,-1.188962668
174327595.4,-502662531.3,-20084467.41,26.91560526,-7.041651073,-1.902999271,290591421.8,-154841815.9,-15989670.63,24.79411782,-0.956497961,-1.183815975
176618820.9,-503247205.7,-20246582.65,26.11950137,-6.496141202,-1.849573213,292729629.5,-154922328.4,-16091732.06,24.70158731,-0.907354909,-1.17872653
178840618.2,-503785703.1,-20404057.79,25.30857299,-5.972805093,-1.795596131,294859883,-154998630.6,-16193356.19,24.60998964,-0.859036299,-1.173693228
180991732.7,-504279956.6,-20556846.96,24.4834254,-5.472043153,-1.741108449,296982262.1,-155070793,-16294547.84,24.51930833,-0.811522102,-1.168714996
183070962.4,-504731933.4,-20704907.8,23.64467454,-4.994239737,-1.686150985,299096845.4,-155138884.2,-16395311.7,24.42952726,-0.764792931,-1.16379079
